Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1935,5,-0.263,-0.228,-0.215,-0.242,
1935,6,-0.237,-0.228,-0.215,-0.242,
1935,7,-0.260,-0.228,-0.214,-0.241,
1935,8,-0.205,-0.228,-0.214,-0.241,
1935,9,-0.226,-0.227,-0.214,-0.241,
1935,10,-0.289,-0.227,-0.214,-0.240,
1935,11,-0.046,-0.227,-0.213,-0.240,
1935,12,-0.194,-0.226,-0.213,-0.239,
1936,1,-0.255,-0.226,-0.213,-0.239,
1936,2,-0.180,-0.226,-0.213,-0.239,
1936,3,-0.203,-0.225,-0.212,-0.238,
1936,4,-0.269,-0.225,-0.212,-0.238,
1936,5,-0.291,-0.225,-0.212,-0.238,
1936,6,-0.234,-0.224,-0.211,-0.237,
1936,7,-0.181,-0.224,-0.211,-0.237,
1936,8,-0.281,-0.224,-0.211,-0.237,
1936,9,-0.232,-0.223,-0.211,-0.236,
1936,10,-0.246,-0.223,-0.210,-0.236,
1936,11,-0.339,-0.223,-0.210,-0.236,
1936,12,-0.191,-0.223,-0.210,-0.235,
1937,1,-0.103,-0.222,-0.209,-0.235,
1937,2,-0.076,-0.222,-0.209,-0.235,
1937,3,-0.270,-0.222,-0.209,-0.234,
1937,4,-0.150,-0.221,-0.209,-0.234,
1937,5,-0.224,-0.221,-0.208,-0.234,
1937,6,-0.237,-0.221,-0.208,-0.233,
1937,7,-0.151,-0.220,-0.208,-0.233,
1937,8,-0.309,-0.220,-0.207,-0.233,
1937,9,-0.196,-0.220,-0.207,-0.232,
1937,10,-0.243,-0.219,-0.207,-0.232,
1937,11,-0.238,-0.219,-0.207,-0.232,
1937,12,-0.185,-0.219,-0.206,-0.231,
1938,1,-0.170,-0.218,-0.206,-0.231,
1938,2,-0.168,-0.218,-0.206,-0.231,
1938,3,-0.224,-0.218,-0.205,-0.230,
1938,4,-0.211,-0.218,-0.205,-0.230,
1938,5,-0.184,-0.217,-0.205,-0.229,
1938,6,-0.225,-0.217,-0.205,-0.229,
1938,7,-0.285,-0.217,-0.204,-0.229,
1938,8,-0.266,-0.216,-0.204,-0.228,
1938,9,-0.266,-0.216,-0.204,-0.228,
